Kilometrage_parcourus,Sexe,Carburant,Zone,Exposition,age_du_conducteur,age_du_vehicule,ancienpermis,nbre_sinistre,charge_totale
3723,Man,diesel,Casablanca-Settat,0.5067,42.12,13.95,11.39,1,3086.59
6255,Women,diesel,Casablanca-Settat,0.4911,56.26,11.41,35.97,0,0
1243,Women,diesel,Casablanca-Settat,0.7373,60.43,4.91,11.37,1,1210.32
9841,Women,essence,Casablanca-Settat,0.7671,59.48,10.68,36.44,1,863.61
4560,Women,diesel,Casablanca-Settat,0.1058,30.8,17.47,8.3,0,0
5197,Women,diesel,Marrakech-Safi,0.4486,21,11.44,0.27,0,0
5612,Women,essence,Oriental,0.1637,39,20.79,13.95,0,0
9961,Man,diesel,Casablanca-Settat,0.4375,26.01,4.23,6.99,1,2116.48
574,Women,diesel,Draa-Tafilalet,0.1046,66.44,8.34,39.29,1,890.76
5864,Man,essence,Casablanca-Settat,0.0741,38.61,11.36,19.84,0,0
1783,Man,diesel,Tanger-Tetouan-AlHoceima,0.342,32.52,2.97,7.75,0,0
7957,Man,essence,Tanger-Tetouan-AlHoceima,0.7547,21.92,11.6,0.07,1,2955.46
2758,Women,essence,Marrakech-Safi,0.1692,56.15,15.89,18.35,0,0
2087,Man,diesel,Tanger-Tetouan-AlHoceima,0.2546,70.21,21.14,26.06,0,0
312,Man,diesel,Marrakech-Safi,0.6662,67.26,8.54,31.33,0,0
32,Women,diesel,Casablanca-Settat,0.7724,43.46,18.56,22.06,0,0
5426,Women,essence,Casablanca-Settat,0.4448,32.54,12.66,11.57,0,0
9907,Man,diesel,Tanger-Tetouan-AlHoceima,0.2378,46.47,8.22,22.37,1,1766.61
93,Man,essence,Draa-Tafilalet,0.8416,25.28,7.75,3.1,0,0
3547,Man,diesel,BeniMellal-Khenifra,0.4251,58.66,13.2,29.44,0,0
967,Women,essence,Tanger-Tetouan-AlHoceima,0.1686,34.38,11.63,13.29,0,0
1404,Women,diesel,Casablanca-Settat,0.5733,28.95,18.2,9.97,0,0
4462,Women,essence,Oriental,0.1535,47.01,14.76,18.04,1,1280.55
2398,Man,diesel,Tanger-Tetouan-AlHoceima,0.2411,56.78,13.42,35.31,0,0
673,Women,essence,Tanger-Tetouan-AlHoceima,0.6355,24.87,20.43,6.14,0,0
5338,Women,essence,Tanger-Tetouan-AlHoceima,0.7735,42.28,2.34,10.04,1,1565.14
3119,Women,diesel,Marrakech-Safi,0.9378,57.23,16.11,27.86,0,0
1688,Man,essence,Casablanca-Settat,0.5637,51.78,6.99,17.94,1,1157.09
8861,Women,diesel,Marrakech-Safi,0.8766,42.82,14.01,6.73,1,2781.58
6713,Man,diesel,Casablanca-Settat,0.5833,51.16,6.54,22.05,0,0
9759,Women,diesel,Souss-Massa,0.9074,63.03,12.39,25.92,1,2608.95
7431,Women,diesel,Guelmim,0.6081,41.22,12.24,18.41,1,606.37
6904,Women,diesel,Tanger-Tetouan-AlHoceima,0.4393,43.07,9.42,22.62,0,0
7704,Man,essence,Casablanca-Settat,0.0989,57.8,3.05,2.18,0,0
1750,Man,essence,Casablanca-Settat,0.8447,32.21,20.44,3.03,2,7023.68
5593,Man,diesel,BeniMellal-Khenifra,0.5591,68.14,21.49,5.97,0,0
1072,Man,diesel,Marrakech-Safi,0.9962,56.45,20.12,33.39,2,4190.48
2491,Man,essence,Rabat-Sale-Kenitra,0.2437,29.65,18.03,5.35,0,0
8484,Women,essence,BeniMellal-Khenifra,0.5391,57.3,12.81,36.24,1,2245.48
5470,Man,diesel,Tanger-Tetouan-AlHoceima,0.4389,53.07,14.98,24.98,2,6456.38
2529,Man,diesel,Marrakech-Safi,0.2007,27.48,13.2,0.14,1,2241.18
6897,Women,diesel,Casablanca-Settat,0.3013,62.18,9.52,32.98,1,3626.49
1238,Women,diesel,Marrakech-Safi,0.7516,46.21,18.6,22.06,0,0
9591,Women,essence,Marrakech-Safi,0.9916,21.93,10.36,3.18,0,0
8089,Man,diesel,Casablanca-Settat,0.9009,37.97,4.28,13.81,2,7438.9
1064,Women,diesel,Marrakech-Safi,0.7247,65.85,6.34,5.38,1,2499.61
7478,Women,essence,Dakhla-OuedEddahab,0.2314,38.51,22.28,16.23,1,2651.62
7042,Women,essence,Tanger-Tetouan-AlHoceima,0.8762,61.19,21.38,10.83,0,0
6357,Women,essence,Casablanca-Settat,0.3263,31.39,17.02,5.53,0,0
793,Women,essence,Tanger-Tetouan-AlHoceima,0.7559,37.96,12.92,17.09,0,0
1456,Women,essence,Casablanca-Settat,0.7698,45.26,3.95,14.04,1,2010.76
4668,Women,essence,Casablanca-Settat,0.2763,60.37,20.09,13.18,0,0
7845,Women,diesel,Laayoune-SakiaElHamra,0.7693,59.61,11.67,41.39,1,2380.36
2777,Man,diesel,Casablanca-Settat,0.7299,33.18,8.48,15.08,2,3205.36
1301,Women,diesel,Marrakech-Safi,0.2555,21.21,9.93,2.13,1,3272.26
5083,Women,essence,Souss-Massa,0.3382,39.09,18.11,5.36,0,0
4149,Women,diesel,Oriental,0.5157,62.26,15.74,16.67,0,0
6222,Man,diesel,Oriental,0.4697,64.14,6.3,2.76,0,0
51,Women,diesel,Tanger-Tetouan-AlHoceima,0.6953,68.56,13.42,7.68,0,0
962,Women,diesel,Casablanca-Settat,0.6177,22.52,12.95,4.51,1,733.31
5464,Women,diesel,Casablanca-Settat,0.4161,59.71,16.28,18.9,0,0
3905,Women,diesel,Draa-Tafilalet,0.6171,28.52,13.05,7.53,0,0
2917,Man,diesel,Marrakech-Safi,0.6389,48.91,5.79,15.01,2,8251.39
628,Man,diesel,Tanger-Tetouan-AlHoceima,0.8429,30.32,17.85,11.26,0,0
6869,Women,essence,Tanger-Tetouan-AlHoceima,0.8324,29.46,7.87,10.77,0,0
7035,Man,diesel,Tanger-Tetouan-AlHoceima,0.5792,56.83,4.83,0.25,0,0
8483,Man,essence,Marrakech-Safi,0.6999,51.56,7.24,13.75,0,0
1747,Man,diesel,Tanger-Tetouan-AlHoceima,0.87,41.49,16.82,9.11,1,2268.06
3682,Women,diesel,Marrakech-Safi,0.6725,30.82,12.11,5.52,1,932.16
9033,Man,essence,Tanger-Tetouan-AlHoceima,0.4437,65.7,2.63,25.64,2,6717.66
9589,Women,essence,Casablanca-Settat,0.6967,50.61,11.49,11.21,0,0
1941,Women,essence,BeniMellal-Khenifra,0.4554,24.3,3.67,4.79,1,1688.78
533,Man,diesel,Marrakech-Safi,0.8825,30.45,11.72,4.37,3,4667.89
8855,Women,diesel,Casablanca-Settat,0.5751,28.79,16.26,10.67,1,3788.45
3435,Man,diesel,Casablanca-Settat,0.5208,59.05,2.72,2.21,2,3523.81
9228,Man,diesel,Marrakech-Safi,0.9365,68.28,19.88,34.44,0,0
6897,Women,diesel,Casablanca-Settat,0.3708,37.34,9.82,1.92,2,4512.44
1119,Man,diesel,Marrakech-Safi,0.2931,60.65,20.41,35.61,1,2354.78
9708,Man,diesel,Draa-Tafilalet,0.0195,40.12,16.97,20.62,0,0
4204,Women,diesel,Casablanca-Settat,0.3612,35.7,16.08,4.16,2,2270.39
9905,Women,diesel,Marrakech-Safi,0.355,59.94,12.4,5.11,0,0
4711,Women,essence,Dakhla-OuedEddahab,0.933,64.51,13.04,46.15,0,0
9477,Man,essence,Casablanca-Settat,0.3216,44.48,5.56,19.87,0,0
9280,Man,diesel,Laayoune-SakiaElHamra,0.6423,25.92,21.76,3.78,1,4829.35
9321,Women,diesel,Tanger-Tetouan-AlHoceima,0.0363,58.26,16.13,2.13,0,0
4872,Women,diesel,Tanger-Tetouan-AlHoceima,0.2027,44.32,15.18,21.34,0,0
6299,Women,diesel,Casablanca-Settat,0.8462,64.36,14.93,42.4,1,820.04
697,Man,essence,BeniMellal-Khenifra,0.5129,58.83,4.37,32.8,0,0
2398,Women,diesel,Tanger-Tetouan-AlHoceima,0.2423,61.67,5.67,32.28,0,0
3052,Women,essence,Tanger-Tetouan-AlHoceima,0.3158,34.54,6.78,10.48,0,0
387,Man,diesel,Casablanca-Settat,0.3659,34.89,16.61,10.33,0,0
3089,Women,diesel,Tanger-Tetouan-AlHoceima,0.9783,58.86,5.63,3.08,2,2189.98
7003,Women,diesel,Casablanca-Settat,0.7312,26.82,6,2.49,0,0
6762,Man,diesel,Casablanca-Settat,0.8876,24.9,14.57,2.35,1,1943.9
821,Women,diesel,Rabat-Sale-Kenitra,0.3787,31.12,8.56,11.62,1,1399.69
8269,Women,diesel,Casablanca-Settat,0.5109,63.24,14.78,37.84,0,0
5707,Women,diesel,Tanger-Tetouan-AlHoceima,0.3011,38.08,18.06,1.12,0,0
5724,Women,diesel,Marrakech-Safi,0.3511,69.48,8.02,1.5,0,0
8779,Man,diesel,Tanger-Tetouan-AlHoceima,0.3565,25.19,11.91,3.52,0,0
6197,Women,diesel,Dakhla-OuedEddahab,0.0305,20.37,18.25,0.19,0,0
731,Women,essence,Casablanca-Settat,0.732,61.59,21.68,40.23,0,0
1759,Man,diesel,Casablanca-Settat,0.1002,61.58,6.79,43.41,0,0
8838,Man,essence,Fes-Meknes,0.5948,56.05,5,26.58,0,0
121,Women,essence,Tanger-Tetouan-AlHoceima,0.0158,57.3,19.04,17.57,0,0
5569,Women,essence,Casablanca-Settat,0.2332,60.22,8.39,41.87,0,0
9032,Women,diesel,Tanger-Tetouan-AlHoceima,0.4214,22.41,8.77,0.3,1,984.28
1291,Man,diesel,Marrakech-Safi,0.5542,32.3,6.58,12.24,0,0
6018,Man,diesel,Marrakech-Safi,0.6259,36.31,12.42,17.83,0,0
3515,Women,diesel,Casablanca-Settat,0.8275,65.94,21.86,30.15,1,2009.57
4538,Man,diesel,Tanger-Tetouan-AlHoceima,0.9748,35.32,19.88,13.38,2,5309.32
8296,Women,diesel,Casablanca-Settat,0.4351,55.78,8.7,7.34,1,3037.77
2271,Man,diesel,Marrakech-Safi,0.3305,54.19,17.54,19.44,0,0
7946,Women,diesel,Casablanca-Settat,0.2291,56.22,21.44,17.69,1,6833.72
3421,Man,essence,Laayoune-SakiaElHamra,0.6088,41.24,11.13,18.27,0,0
222,Man,diesel,Marrakech-Safi,0.7774,42.82,12.88,7.42,1,5486.84
433,Man,diesel,Casablanca-Settat,0.4017,23.97,15.86,2.91,0,0
2243,Women,diesel,Casablanca-Settat,0.1254,28.33,4.79,0.88,0,0
6325,Women,essence,Marrakech-Safi,0.3373,24.12,8.23,0.99,0,0
8344,Women,diesel,Marrakech-Safi,0.5023,46.35,4.14,10.56,0,0
5344,Man,essence,Tanger-Tetouan-AlHoceima,0.759,70.03,9.44,48.93,0,0
292,Man,essence,Casablanca-Settat,0.4103,56.32,14.25,35.7,0,0
6389,Man,essence,Casablanca-Settat,0.3905,21.42,19.72,3.26,0,0
714,Man,essence,Tanger-Tetouan-AlHoceima,0.9292,55.31,15.95,6.32,0,0
420,Women,diesel,Dakhla-OuedEddahab,0.0706,22.18,8.05,3.64,0,0
7588,Man,essence,Draa-Tafilalet,0.0584,57.01,19.71,24.71,0,0
7409,Women,diesel,Marrakech-Safi,0.0974,24.67,13.71,0.18,0,0
8645,Women,diesel,Tanger-Tetouan-AlHoceima,0.8909,43.7,5.18,0.63,1,2241.89
5988,Women,diesel,Rabat-Sale-Kenitra,0.5285,52.88,16.78,32.57,0,0
4821,Women,essence,Casablanca-Settat,0.7273,44.41,14.9,15.66,3,5320.79
158,Women,essence,Casablanca-Settat,0.1159,23.98,11.85,2.86,0,0
4049,Women,diesel,Marrakech-Safi,0.5691,61.34,17.31,31.34,1,1588.79
3618,Man,essence,Dakhla-OuedEddahab,0.4688,25.45,9.77,4.66,0,0
343,Women,essence,Casablanca-Settat,0.5512,28.54,8.03,5.73,2,4238.67
4092,Man,essence,Marrakech-Safi,0.1455,30.67,13.83,2.16,0,0
1058,Man,essence,Casablanca-Settat,0.2111,58.41,10.75,39.78,1,3175.14
2693,Man,diesel,Casablanca-Settat,0.7977,54.55,4.52,29.05,3,8663.1
8573,Man,diesel,Tanger-Tetouan-AlHoceima,0.4507,49.91,14.01,23.01,0,0
2399,Women,essence,Tanger-Tetouan-AlHoceima,0.0461,23.26,6.04,2.24,0,0
1889,Women,essence,Tanger-Tetouan-AlHoceima,0.8126,35.63,16.8,11.61,0,0
8093,Women,essence,Dakhla-OuedEddahab,0.4415,54.96,17.29,4.64,1,1070.55
7343,Man,essence,Casablanca-Settat,0.3887,54.69,6.37,28.08,0,0
6696,Women,diesel,Casablanca-Settat,0.3985,28.32,9.88,3.01,1,588.39
4571,Man,diesel,Casablanca-Settat,0.0659,66.11,8.33,33.22,0,0
8978,Women,essence,Marrakech-Safi,0.088,65.66,4.21,35.13,0,0
7624,Women,diesel,Casablanca-Settat,0.4929,41.91,11.26,20.3,0,0
5426,Women,essence,Marrakech-Safi,0.4029,45.31,10.49,23.57,0,0
5628,Man,essence,Marrakech-Safi,0.6078,27.53,15.32,4.02,1,3605.56
4288,Women,diesel,Casablanca-Settat,0.3177,67.6,13.16,41.19,0,0
9446,Man,essence,Marrakech-Safi,0.9552,50.31,5.23,10.48,2,6439.91
4722,Women,diesel,Casablanca-Settat,0.6545,50.96,17.75,0.53,1,1558.41
8446,Man,diesel,Marrakech-Safi,0.7015,35.38,18.98,1.42,0,0
119,Man,diesel,Laayoune-SakiaElHamra,0.6564,58.77,2.23,25.53,1,2534.75
4601,Women,diesel,Marrakech-Safi,0.3537,48.57,8.3,1.53,1,875.79
5029,Man,essence,Marrakech-Safi,0.6572,23.05,12.18,3.55,0,0
6185,Man,diesel,Draa-Tafilalet,0.9045,56,10.83,6.71,3,12141.41
8479,Women,essence,Marrakech-Safi,0.0139,57.68,17.99,4.75,0,0
4601,Man,diesel,Casablanca-Settat,0.9775,43.73,7.03,22.18,5,8925.07
4505,Women,essence,Tanger-Tetouan-AlHoceima,0.5984,25.17,14.51,0.17,0,0
1131,Man,essence,Casablanca-Settat,0.0829,26.86,10.74,3.77,0,0
7218,Women,diesel,Oriental,0.4084,24.55,12.39,0.62,0,0
2714,Women,essence,Tanger-Tetouan-AlHoceima,0.4848,56.73,16.69,8.16,0,0
8333,Women,diesel,Casablanca-Settat,0.4213,56.2,18.63,12.27,2,3580.16
9188,Man,essence,Casablanca-Settat,0.0409,45.33,13.94,26.76,2,5587.22
2392,Man,essence,Draa-Tafilalet,0.3235,21.54,9.44,1.41,2,1930.07
1544,Man,essence,BeniMellal-Khenifra,0.3551,41.63,4.92,5.17,0,0
5281,Man,essence,Draa-Tafilalet,0.3832,31.33,15.39,6.79,0,0
22,Man,essence,Casablanca-Settat,0.6116,62.32,4.28,36.03,0,0
8167,Women,diesel,Casablanca-Settat,0.5497,66.93,4.74,17.6,1,2910.39
3983,Women,diesel,Tanger-Tetouan-AlHoceima,0.6312,24.77,11.54,6.71,3,4729.78
3657,Women,essence,Casablanca-Settat,0.0381,56.96,7.58,26.01,0,0
8340,Women,diesel,Tanger-Tetouan-AlHoceima,0.6733,31.44,4.84,0.19,1,430.61
6366,Man,diesel,Rabat-Sale-Kenitra,0.8444,60.29,7.29,8.08,1,2109.63
3430,Women,diesel,Casablanca-Settat,0.0185,44.31,10.21,9.93,0,0
5391,Man,essence,Casablanca-Settat,0.5027,55.46,13.31,37.2,0,0
186,Women,essence,Casablanca-Settat,0.5717,40.75,18.26,9.1,1,2465.45
4540,Women,diesel,Tanger-Tetouan-AlHoceima,0.2601,41.33,7.06,16.57,1,1420.95
9406,Man,diesel,Marrakech-Safi,0.7072,29.63,10.75,9.29,1,3214.01
8932,Women,essence,Casablanca-Settat,0.989,34.89,2,8.35,2,3148.24
6392,Man,essence,Tanger-Tetouan-AlHoceima,0.8413,55.96,13.84,17.67,1,772.49
2978,Women,essence,Marrakech-Safi,0.1638,64.46,21.83,33.79,1,2201.33
2181,Man,diesel,Dakhla-OuedEddahab,0.9252,65.43,11.48,41.74,0,0
9177,Women,diesel,Marrakech-Safi,0.0729,43.78,20.48,18.6,0,0
1901,Man,essence,Tanger-Tetouan-AlHoceima,0.6535,42.86,20.99,16.79,0,0
3994,Man,diesel,Tanger-Tetouan-AlHoceima,0.6331,61.65,15.93,1.28,0,0
9602,Man,diesel,Guelmim,0.421,29.73,14.16,7.03,0,0
8724,Women,essence,Casablanca-Settat,0.7241,26.25,20.51,1.54,0,0
5650,Women,essence,Marrakech-Safi,0.2405,51.69,1.16,7.77,0,0
5293,Man,diesel,Tanger-Tetouan-AlHoceima,0.5165,56.84,17.34,33.15,1,5031.03
6298,Women,essence,Marrakech-Safi,0.9103,43.74,16.77,7.94,0,0
8846,Women,essence,Tanger-Tetouan-AlHoceima,0.4627,62.87,3.92,34.27,0,0
3788,Women,essence,Marrakech-Safi,0.0022,55.3,10.43,36.15,0,0
7817,Women,diesel,Tanger-Tetouan-AlHoceima,0.2579,23.51,11.74,4.61,0,0
6793,Man,diesel,Guelmim,0.5352,27.76,8.16,6.75,1,1875.12
5458,Women,diesel,Tanger-Tetouan-AlHoceima,0.8994,22.12,11.87,3.08,3,8777.77
5329,Women,diesel,Rabat-Sale-Kenitra,0.6758,46.81,17.51,9.59,2,1631.88
9734,Man,essence,Tanger-Tetouan-AlHoceima,0.2509,43.47,8.73,24.4,0,0
2726,Women,diesel,Tanger-Tetouan-AlHoceima,0.9733,66.65,6.91,40.97,2,4541.54
7436,Women,diesel,Marrakech-Safi,0.1171,30.9,17.79,7.32,0,0
9442,Women,diesel,Oriental,0.8693,56.51,5.6,5.34,1,1865.64
3495,Man,essence,Tanger-Tetouan-AlHoceima,0.9051,28.81,14.3,0.45,1,1764.21
2251,Man,diesel,Tanger-Tetouan-AlHoceima,0.1198,59.35,13.64,39.1,0,0
9618,Women,diesel,Draa-Tafilalet,0.9953,56.88,13.44,2.94,2,4785.41
4820,Man,essence,Casablanca-Settat,0.657,50.65,14.93,2.12,0,0
5886,Man,diesel,Marrakech-Safi,0.4736,34.54,10.66,1.07,1,2695.7
5879,Man,diesel,Casablanca-Settat,0.0948,33.07,18.94,0.65,0,0
1734,Women,diesel,Casablanca-Settat,0.0103,30.86,9.1,10.93,0,0
1941,Man,essence,Casablanca-Settat,0.7116,40.93,16.46,19.89,1,2500.93
7365,Man,diesel,Casablanca-Settat,0.2686,45.74,10.49,15.01,0,0
2310,Man,essence,Casablanca-Settat,0.5661,63.68,20.4,39.46,1,3745.07
3252,Women,essence,Fes-Meknes,0.8959,65.92,5.7,1.1,3,3748.47
3282,Women,diesel,Casablanca-Settat,0.6421,68.79,3.24,12.15,0,0
3249,Women,essence,Casablanca-Settat,0.6558,27.09,18.1,3.8,1,4833.03
1508,Man,essence,Marrakech-Safi,0.8601,48.13,4.74,16.47,0,0
7973,Man,essence,Souss-Massa,0.0858,21.21,13.5,2.76,0,0
2653,Women,diesel,Casablanca-Settat,0.0369,36.98,8.44,14.2,0,0
2325,Man,essence,Draa-Tafilalet,0.4106,37.1,19.03,12.13,0,0
7450,Women,diesel,Oriental,0.3052,48.49,11.48,20.18,1,1526.97
831,Women,diesel,Marrakech-Safi,0.7009,49.53,15.55,24.76,0,0
262,Women,diesel,Casablanca-Settat,0.44,45.82,14.8,26.38,0,0
6218,Women,essence,Marrakech-Safi,0.1649,58.34,8.76,26.2,1,2525.39
6538,Man,diesel,Marrakech-Safi,0.3988,46.84,10.41,18.27,0,0
3225,Man,diesel,Marrakech-Safi,0.4028,50.73,7.39,32.51,2,6692.28
4964,Women,diesel,Tanger-Tetouan-AlHoceima,0.3867,68.69,9.57,31.74,0,0
7183,Women,essence,Marrakech-Safi,0.7232,29.11,5.76,6.34,0,0
396,Women,diesel,Marrakech-Safi,0.4005,45.07,8.12,17.87,0,0
2029,Women,diesel,Casablanca-Settat,0.9175,46.18,17.39,6.98,1,2939.4
3324,Women,diesel,Oriental,0.3511,65.05,18.26,16.34,2,6519.39
4301,Man,diesel,Tanger-Tetouan-AlHoceima,0.7406,54.91,6.59,36.86,1,4570.43
3661,Women,diesel,Marrakech-Safi,0.3766,70.5,20.27,36.36,0,0
1855,Man,essence,Laayoune-SakiaElHamra,0.0703,61.52,8.34,35.1,0,0
7906,Women,diesel,Marrakech-Safi,0.0114,57.16,10.42,12.29,0,0
5139,Man,essence,Marrakech-Safi,0.7094,20.96,10.93,2.01,0,0
1012,Women,essence,Tanger-Tetouan-AlHoceima,0.3812,22.28,11.73,0.04,0,0
6067,Man,diesel,Guelmim,0.6828,28.82,5.83,0.47,2,5251.31
9033,Women,diesel,Marrakech-Safi,0.5754,54.93,9.56,33.38,1,1046.98
5409,Women,essence,Tanger-Tetouan-AlHoceima,0.239,20.73,21.81,0.63,1,576.84
592,Women,essence,Marrakech-Safi,0.2525,23.17,16.21,1.14,0,0
1304,Women,diesel,Casablanca-Settat,0.2797,38.1,5.89,3.35,0,0
3202,Women,essence,Marrakech-Safi,0.7192,42.38,16.21,3.73,0,0
9678,Women,diesel,Guelmim,0.2225,38.69,16.68,15.04,0,0
6274,Women,essence,Casablanca-Settat,0.4978,35.5,13.01,11.15,0,0
3745,Women,essence,Casablanca-Settat,0.5876,37.15,14.34,4.7,3,5009.83
4285,Women,essence,Tanger-Tetouan-AlHoceima,0.8414,32.65,17.16,5.86,4,7085.49
3689,Man,diesel,Casablanca-Settat,0.6217,33.47,8.18,14.58,1,2633.46
4032,Women,essence,Marrakech-Safi,0.9233,24.89,16.18,0,0,0
8606,Man,diesel,Marrakech-Safi,0.9923,47.66,3.9,20.25,2,8013.11
727,Women,essence,Marrakech-Safi,0.3555,69.88,11.68,2.15,0,0
3402,Man,essence,Marrakech-Safi,0.1924,41.16,19.13,5.29,0,0
2012,Man,diesel,Casablanca-Settat,0.9396,30.46,3.27,1.98,2,3585.25
5648,Man,essence,Tanger-Tetouan-AlHoceima,0.1547,48.32,4.36,27.4,0,0
9372,Women,diesel,Souss-Massa,0.2173,37.82,16.51,12.75,0,0
1208,Women,essence,Marrakech-Safi,0.8444,41.9,17.88,17.24,0,0
1471,Women,diesel,Casablanca-Settat,0.7015,53.38,16.19,1.46,1,1911.9
6433,Women,essence,Marrakech-Safi,0.7698,42.26,6.08,2.94,0,0
2167,Women,essence,Draa-Tafilalet,0.6888,45.07,13.18,1.29,0,0
7038,Women,diesel,Casablanca-Settat,0.5836,60.66,12.07,25.53,2,3829.52
4362,Man,essence,Tanger-Tetouan-AlHoceima,0.6028,27.35,8.31,5.93,2,6422.81
4304,Women,essence,Guelmim,0.2876,51.19,19.87,22.43,0,0
5190,Women,essence,Marrakech-Safi,0.8106,58.74,4.29,29.01,0,0
9133,Women,diesel,Casablanca-Settat,0.7001,22.28,18.07,1.89,1,1789.59
0,Man,essence,Dakhla-OuedEddahab,0.3055,38.29,10.45,17.52,0,0
2569,Women,diesel,Tanger-Tetouan-AlHoceima,0.4485,29.84,7.45,2.34,0,0
6094,Man,diesel,Tanger-Tetouan-AlHoceima,0.995,31.53,15.08,0.41,1,2215.21
6823,Women,diesel,Tanger-Tetouan-AlHoceima,0.8965,47.26,6.16,0.64,1,1475.37
2997,Women,diesel,Guelmim,0.3711,54.28,18.99,13.01,1,1433.43
5583,Man,diesel,Rabat-Sale-Kenitra,0.1984,43.72,10.77,5.47,0,0
1262,Man,essence,Casablanca-Settat,0.0711,35.96,20.58,8.93,2,7582.96
6842,Man,essence,Casablanca-Settat,0.1417,58.64,8.28,10.89,0,0
1617,Women,essence,Marrakech-Safi,0.4246,40.06,15.02,16.04,0,0
8160,Man,essence,Casablanca-Settat,0.1269,69.42,13.67,7.78,1,1627.22
9664,Man,diesel,Oriental,0.9506,32.06,11.93,1.32,1,3591.24
2437,Women,diesel,Rabat-Sale-Kenitra,0.0319,45.87,14.81,13.7,0,0
2878,Women,diesel,Tanger-Tetouan-AlHoceima,0.0583,24.93,9.02,2.14,0,0
4802,Women,essence,Tanger-Tetouan-AlHoceima,0.3946,40.27,8.34,21.74,0,0
22,Man,essence,Casablanca-Settat,0.7348,21.91,13.54,0.9,0,0
3103,Women,diesel,Rabat-Sale-Kenitra,0.7955,21.11,11.75,1.57,1,2301.8
2130,Man,diesel,Marrakech-Safi,0.606,38.16,10.3,12.02,0,0
2255,Man,diesel,Casablanca-Settat,0.7041,55.59,16.88,7.43,1,623.39
3066,Man,diesel,Tanger-Tetouan-AlHoceima,0.9748,63.16,14.41,25.53,1,4832.4
3735,Man,essence,Tanger-Tetouan-AlHoceima,0.6462,49.76,20.91,22.64,1,1249.99
3468,Women,essence,Casablanca-Settat,0.7696,58.89,14.37,27.38,1,3141.15
7230,Man,diesel,Dakhla-OuedEddahab,0.2563,28.86,14.52,9.87,0,0
8850,Man,essence,Tanger-Tetouan-AlHoceima,0.0703,69.5,9.71,12.5,0,0
7202,Women,essence,Tanger-Tetouan-AlHoceima,0.1971,38.83,11.89,11.86,0,0
5746,Women,diesel,Marrakech-Safi,0.4204,71.95,6.93,25.98,0,0
1574,Women,essence,Tanger-Tetouan-AlHoceima,0.6939,42.04,4.55,11,1,1723.37
57,Women,diesel,Tanger-Tetouan-AlHoceima,0.0053,42.83,9.64,9.77,0,0
7667,Women,essence,Tanger-Tetouan-AlHoceima,0.6145,57.43,16.8,21.54,0,0
3837,Women,diesel,Casablanca-Settat,0.023,57.99,12.5,33.4,0,0
5464,Man,diesel,Tanger-Tetouan-AlHoceima,0.1316,20.67,8.77,2.35,0,0
7741,Man,diesel,Draa-Tafilalet,0.3522,50.19,14.53,21.61,1,2971.6
3556,Man,essence,BeniMellal-Khenifra,0.3144,27.24,3.68,0.74,0,0
8827,Man,essence,Casablanca-Settat,0.1254,22.43,12.22,1.02,0,0
6090,Man,diesel,Souss-Massa,0.7979,30.13,9.52,5.74,0,0
6165,Women,diesel,Casablanca-Settat,0.3263,39.05,15.82,18.64,0,0
9864,Man,diesel,Casablanca-Settat,0.0768,62.05,2.48,21.62,0,0
3046,Man,essence,Casablanca-Settat,0.9639,31.72,4.08,11.3,0,0
2419,Women,essence,Marrakech-Safi,0.9427,48.28,9.16,15.47,0,0
2720,Women,essence,Casablanca-Settat,0.2118,30,14.63,11.76,1,2165.29
6272,Man,diesel,Tanger-Tetouan-AlHoceima,0.9706,43.79,7.98,9.62,0,0
8150,Women,diesel,Draa-Tafilalet,0.0342,21.33,20.36,1.15,0,0
7133,Women,diesel,Casablanca-Settat,0.5687,48.03,10.45,5.23,1,3217.23
2847,Man,diesel,Tanger-Tetouan-AlHoceima,0.3169,25.23,5.84,2.28,0,0
7353,Women,essence,Tanger-Tetouan-AlHoceima,0.564,25.46,11.15,1.12,1,1277.22
2924,Man,diesel,Souss-Massa,0.9527,63.67,4.59,32.84,1,5685.82
8283,Man,essence,Marrakech-Safi,0.4651,57.59,4.09,32.54,2,8345.34
9559,Women,diesel,Casablanca-Settat,0.676,44.15,6.3,19.04,0,0
1897,Women,diesel,Casablanca-Settat,0.1222,60.41,8.11,27.22,0,0
5296,Women,diesel,Tanger-Tetouan-AlHoceima,0.6758,67.84,18.95,43.55,3,5318.01
1848,Man,essence,Tanger-Tetouan-AlHoceima,0.4157,32.83,15.66,11.89,1,2316.32
9744,Women,diesel,Tanger-Tetouan-AlHoceima,0.7525,55.94,11.42,35.58,0,0
7111,Women,diesel,Fes-Meknes,0.5952,30.6,18.66,8.59,1,1542.93
7446,Man,diesel,Marrakech-Safi,0.2255,40.6,5.37,0.55,0,0
950,Man,essence,Marrakech-Safi,0.0707,25.36,12.33,2.1,0,0
436,Women,diesel,Casablanca-Settat,0.5847,64.91,12.84,34.49,0,0
1946,Man,essence,Marrakech-Safi,0.4513,34.68,21.68,12.54,2,3619.18
8366,Women,essence,Casablanca-Settat,0.0125,45.44,18.01,0.27,0,0
1926,Man,essence,Casablanca-Settat,0.2004,57.34,4.15,18.11,0,0
3583,Man,essence,Tanger-Tetouan-AlHoceima,0.036,39.8,21.69,5.25,0,0
